433	11
12	20	8	14	2	20	9	12	5	11	16	
6	2	2	9	18	21	2	14	6	3	2	
15	4	13	17	10	8	20	4	11	19	10	
14	4	4	18	2	20	18	8	4	19	14	
5	6	18	18	16	10	7	13	18	13	21	
17	16	9	13	3	4	6	2	14	2	19	
15	12	18	8	8	13	2	17	7	12	10	
20	15	10	16	19	10	21	3	10	4	10	
20	5	4	12	15	15	19	4	9	4	18	
7	2	6	5	10	21	12	6	16	4	8	
3	10	2	10	18	11	12	9	18	17	13	
16	10	17	14	2	3	13	13	18	13	2	
12	7	16	2	16	11	10	3	18	17	15	
8	17	12	16	17	4	11	14	2	19	5	
17	2	12	12	13	14	14	5	20	10	9	
15	11	5	3	8	16	14	13	6	16	20	
16	21	6	7	17	3	13	16	8	19	10	
17	2	20	10	7	6	4	17	14	3	18	
19	18	18	11	21	2	2	6	5	17	10	
4	10	11	11	17	21	13	10	13	10	5	
16	13	18	9	11	21	6	3	9	5	11	
2	2	12	21	3	13	7	4	13	3	16	
12	16	17	4	2	16	13	19	12	15	13	
14	17	11	19	10	18	17	12	12	6	19	
21	4	17	8	20	12	13	3	11	20	14	
5	7	18	14	13	6	20	21	8	4	9	
2	13	15	8	12	11	6	15	2	8	14	
13	10	12	9	4	9	16	19	16	9	19	
13	11	12	13	17	13	14	9	4	7	20	
3	18	9	3	9	15	17	20	19	13	13	
12	16	18	15	17	5	8	2	11	19	2	
16	2	20	13	18	9	6	9	20	20	3	
20	7	12	8	21	2	4	13	4	18	15	
7	12	10	19	8	11	17	19	4	21	16	
15	14	14	10	17	21	19	10	21	3	20	
2	5	5	12	3	8	18	3	15	19	17	
20	20	9	14	10	5	20	14	20	3	15	
9	15	8	20	8	20	7	2	19	19	3	
21	11	15	5	20	6	15	19	3	15	9	
4	16	19	13	17	2	7	11	11	5	12	
2	10	10	9	18	19	11	17	2	3	14	
16	6	7	15	4	8	4	2	2	4	13	
18	12	10	6	19	10	21	7	13	4	4	
11	9	17	4	15	9	9	8	18	9	5	
20	21	20	17	16	15	18	2	14	16	12	
19	17	4	10	14	16	2	17	4	17	15	
15	13	5	17	16	17	21	16	18	12	8	
19	15	17	20	18	5	15	13	11	17	18	
3	4	21	2	17	17	21	11	20	14	21	
21	2	11	14	19	9	19	13	2	3	19	
7	18	13	6	18	21	14	8	15	17	14	
11	14	7	6	17	8	15	12	7	13	13	
7	3	16	21	2	18	18	2	15	20	20	
2	12	8	11	14	10	19	8	14	18	6	
15	7	5	3	19	18	12	3	5	4	14	
17	7	13	13	19	6	2	6	20	17	21	
6	10	8	16	5	3	10	15	12	19	9	
5	12	21	14	10	15	10	9	21	4	11	
15	12	11	6	2	19	14	11	2	2	9	
10	13	6	3	4	10	3	19	20	14	7	
2	8	21	10	13	17	8	17	11	6	21	
9	21	9	7	18	14	18	2	14	18	15	
21	12	3	18	4	15	15	8	15	17	14	
2	13	19	6	17	16	20	17	19	6	5	
9	7	5	9	11	19	21	17	5	12	14	
20	13	18	8	9	6	6	16	7	18	12	
14	3	17	3	6	19	4	13	10	18	15	
16	20	5	16	8	12	20	13	7	3	6	
16	2	12	2	11	17	14	5	19	11	17	
13	20	3	15	15	7	4	14	14	19	3	
17	9	14	17	8	21	2	12	5	5	20	
18	10	17	18	21	18	6	20	4	3	12	
12	11	8	18	21	21	5	6	3	9	3	
6	2	14	17	9	15	2	2	18	10	6	
18	7	3	5	12	6	18	19	2	5	17	
20	5	6	9	11	9	7	20	12	18	8	
16	20	7	14	4	6	8	11	16	11	21	
4	3	2	21	18	21	11	3	4	21	10	
14	16	18	20	13	12	11	4	12	8	17	
13	4	9	8	10	13	3	6	15	5	20	
9	16	12	9	18	4	4	8	4	20	13	
6	15	2	6	20	10	20	21	15	9	16	
10	11	10	11	10	2	4	16	2	5	15	
16	15	14	7	13	3	17	2	11	7	14	
12	11	10	2	10	14	17	14	8	10	9	
6	19	16	12	11	15	7	21	16	9	16	
15	2	3	6	8	2	2	3	12	9	17	
19	10	18	10	3	13	17	9	10	16	14	
7	11	9	20	5	12	5	6	15	5	11	
10	3	3	5	21	9	11	3	2	16	9	
18	20	12	14	15	19	3	9	4	5	5	
15	9	5	16	7	15	14	14	21	18	17	
12	19	13	11	18	21	7	20	18	13	3	
12	12	17	7	13	21	21	8	20	9	17	
3	7	14	8	7	17	4	9	19	17	12	
5	19	12	7	18	7	14	7	6	7	16	
19	9	13	2	21	3	18	7	10	17	21	
21	4	16	9	5	21	14	19	10	11	20	
10	19	7	17	8	11	21	8	7	13	2	
9	3	16	13	18	8	8	15	6	21	18	
2	8	11	17	5	18	16	20	3	10	15	
4	11	10	10	7	2	11	9	17	2	12	
5	6	14	17	19	16	21	11	12	18	8	
16	19	14	4	10	4	11	11	4	16	5	
3	12	4	20	9	10	3	7	21	4	6	
13	16	13	12	10	10	2	6	6	14	8	
17	2	9	13	9	18	12	9	14	6	12	
11	3	9	3	15	8	3	12	7	10	20	
10	16	18	8	17	20	6	7	2	17	16	
3	19	9	8	20	5	3	6	21	11	4	
9	10	8	16	4	10	13	3	3	3	6	
14	11	12	20	21	16	11	4	10	11	4	
19	8	9	19	19	12	5	9	15	20	21	
5	5	13	2	11	7	6	14	17	7	14	
19	10	17	2	8	19	11	19	8	8	16	
9	19	21	8	13	13	2	13	4	12	6	
20	9	2	5	5	3	7	20	10	4	8	
20	5	4	19	17	7	11	5	4	19	18	
8	9	13	7	9	14	15	11	6	15	4	
19	11	16	13	6	5	10	21	3	15	21	
10	19	18	17	21	17	15	12	13	16	12	
19	6	18	10	18	10	8	19	11	9	7	
9	17	3	4	15	19	3	12	9	4	20	
17	6	6	5	12	20	19	20	20	2	9	
9	21	19	11	19	15	3	21	19	5	6	
14	12	7	8	21	17	17	8	12	2	11	
14	13	11	21	2	7	17	17	2	20	8	
3	2	5	15	21	20	9	6	9	17	16	
5	6	18	18	6	4	8	6	6	10	5	
10	11	12	14	12	2	19	3	7	12	6	
17	8	14	19	11	11	19	10	2	20	19	
13	2	7	11	19	15	4	14	15	11	4	
5	21	15	20	19	12	3	14	21	5	6	
10	4	13	11	14	14	19	2	10	17	21	
12	14	10	10	19	19	11	7	10	18	10	
9	17	15	6	20	7	21	2	14	14	13	
13	12	13	4	2	14	19	17	13	12	9	
12	18	10	8	15	21	4	15	2	10	9	
6	3	3	20	3	19	4	5	15	13	12	
2	15	10	7	21	3	17	13	8	11	17	
3	5	21	19	10	9	20	16	19	3	7	
3	6	16	12	15	16	7	4	14	11	20	
